id,book_title,category,raw_price,rating,instock,UPC,link,image_url,image_path
its-only-the-himalayas_981,It's Only the Himalayas,Travel,£45.17,2,19,a22124811bfa8350,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,
full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,£49.43,4,15,ce60436f52c5ee68,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,https://books.toscrape.com/media/cache/fe/8a/fe8af6ceec7718986380c0fde9b3b34f.jpg,
see-america-a-celebration-of-our-national-parks-treasured-sites_732,See America: A Celebration of Our National Parks & Treasured Sites,Travel,£48.87,3,14,f9705c362f070608,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,https://books.toscrape.com/media/cache/c7/1a/c71a85dbf8c2dbc75cb271026618477c.jpg,
vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,£36.94,2,8,1809259a5a5f1d8d,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,https://books.toscrape.com/media/cache/ca/30/ca30b1afe1e76ce7ba1db8176d398e53.jpg,
under-the-tuscan-sun_504,Under the Tuscan Sun,Travel,£37.33,3,7,a94350ee74deaa07,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,https://books.toscrape.com/media/cache/45/21/4521c581ba727f5c835e34860cbf53e5.jpg,
a-summer-in-europe_458,A Summer In Europe,Travel,£44.34,2,7,cc1936a9f4e93477,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,https://books.toscrape.com/media/cache/6c/e3/6ce3003931701c7a3fd5354917538ea9.jpg,
the-great-railway-bazaar_446,The Great Railway Bazaar,Travel,£30.54,1,6,48736df57e7bec9f,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,https://books.toscrape.com/media/cache/d5/82/d582f6b0261c2842330e893962276295.jpg,
a-year-in-provence-provence-1_421,A Year in Provence (Provence #1),Travel,£56.88,4,6,9e60929f521fa280,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,https://books.toscrape.com/media/cache/8b/81/8b81cd9b2c8f89a12099a80bed1c4911.jpg,
the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,£23.21,1,3,366a236aa1ea6f07,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,https://books.toscrape.com/media/cache/26/f5/26f5d20239a45046e756c6d09611b3ea.jpg,
neither-here-nor-there-travels-in-europe_198,Neither Here nor There: Travels in Europe,Travel,£38.95,3,3,747cf7fca2ccdbd4,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,https://books.toscrape.com/media/cache/c9/9a/c99a7a05537cd842eb4db83d537e3a4d.jpg,
1000-places-to-see-before-you-die_1,"1,000 Places to See Before You Die",Travel,£26.08,5,1,228ba5e7577e1d49,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,https://books.toscrape.com/media/cache/9e/10/9e106f81f65b293e488718a4f54a6a3f.jpg,
sharp-objects_997,Sharp Objects,Mystery,£47.82,4,20,e00eb4fd7b871a48,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,
in-a-dark-dark-wood_963,"In a Dark, Dark Wood",Mystery,£19.63,1,18,19ed25f4641d5efd,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,
the-past-never-ends_942,The Past Never Ends,Mystery,£56.50,4,16,5ee94540d0749ea0,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com/media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg,
